"Seq Num","Ticker","Day","Open","High","Low","Close","Volume"
"63","AMZN","2020-12-17:00:30:30(UTC)","13.296802","12.691237","14.432195","6.871175","603969"
"64","FB","2020-12-17:00:30:30(UTC)","17.694254","4.9785557","6.787157","17.512094","181710"
"65","GOOG","2020-12-17:00:30:30(UTC)","16.89215","6.8629255","9.426888","12.314739","662588"
"66","GOOG","2020-12-17:00:30:30(UTC)","16.5677","6.9776707","1.1714419","3.8834586","944015"
"67","GOOG","2020-12-17:00:30:30(UTC)","12.138965","2.4433472","17.376266","2.747462","890032"
"68","AMZN","2020-12-17:00:30:30(UTC)","14.529145","15.425795","11.757283","12.446383","83961"
"69","AAPL","2020-12-17:00:30:30(UTC)","16.339693","9.825423","7.1789417","4.6296024","634262"
"70","GOOG","2020-12-17:00:30:30(UTC)","18.846676","2.3169138","6.351693","5.7752237","286769"
"71","AMZN","2020-12-17:00:30:30(UTC)","13.491021","5.989993","1.1784381","7.7031803","801096"
"72","FB","2020-12-17:00:30:30(UTC)","11.630193","14.823442","2.8309517","10.5120735","981521"
"73","AMZN","2020-12-17:00:30:30(UTC)","5.4806767","11.04681","15.33022","13.575723","869232"
"74","AMZN","2020-12-17:00:30:30(UTC)","13.16692","6.665983","6.6695185","3.24586","81124"
"75","AAPL","2020-12-17:00:30:30(UTC)","11.895752","37.024544","4.6399446","16.066835","864201"
"76","AMZN","2020-12-17:00:30:30(UTC)","2.360466","14.040362","16.111788","15.147894","705131"
"77","FB","2020-12-17:00:30:30(UTC)","1.1983714","3.4699194","18.696323","7.4081106","508142"
"78","GOOG","2020-12-17:00:30:30(UTC)","18.365845","11.75982","15.244429","9.702068","959837"
"79","GOOG","2020-12-17:00:30:30(UTC)","5.4822226","18.63452","9.630529","4.408905","143167"
"80","SMSN","2020-12-17:00:30:31(UTC)","4.9287195","13.101818","11.835677","15.709303","219948"
"81","MSFT","2020-12-17:00:30:31(UTC)","12.331119","8.126304","11.832974","7.8919897","712621"
"82","PG","2020-12-17:00:30:31(UTC)","14.535549","2.7101965","9.642415","7.3964214","252584"
"83","PG","2020-12-17:00:30:31(UTC)","9.097105","18.107634","13.114034","10.874732","76464"
"84","PG","2020-12-17:00:30:31(UTC)","7.643008","10.601615","3.8843608","1.2703692","204578"
"85","PG","2020-12-17:00:30:31(UTC)","10.494961","3.8830848","11.411417","15.987387","574117"
"86","V","2020-12-17:00:30:31(UTC)","17.395018","17.817442","8.423687","9.179303","36010"
"87","SMSN","2020-12-17:00:30:31(UTC)","6.3652363","3.366398","7.1781397","17.022394","301028"
"88","V","2020-12-17:00:30:31(UTC)","16.536396","15.136997","10.641015","8.894189","892588"
"89","WMT","2020-12-17:00:30:31(UTC)","15.792848","2.526657","1.7473478","14.013784","105224"
"90","JNJ","2020-12-17:00:30:31(UTC)","12.62064","12.595821","17.911865","4.3580165","45532"
"91","GOOG","2020-12-17:00:30:31(UTC)","15.963847","12.951318","29.864492","12.56522","300418"
"92","PG","2020-12-17:00:30:31(UTC)","8.383997","17.374016","4.0039477","14.751779","563526"
"93","MSFT","2020-12-17:00:30:31(UTC)","4.629115","10.448913","10.119665","18.909792","149941"
"94","JNJ","2020-12-17:00:30:31(UTC)","13.139662","18.503208","4.6441574","7.6930714","691397"
"95","WMT","2020-12-17:00:30:31(UTC)","10.629013","14.766219","5.052701","19.716246","224219"
"96","SMSN","2020-12-17:00:30:31(UTC)","5.0204515","15.652648","4.1155787","8.940337","501982"
"97","SMSN","2020-12-17:00:30:31(UTC)","14.312968","14.367162","10.828769","9.552607","706696"
"98","JNJ","2020-12-17:00:30:31(UTC)","2.929391","13.777377","11.210169","19.95837","802901"
"99","V","2020-12-17:00:30:31(UTC)","17.602333","5.8888264","14.782283","11.22303","732702"
